,ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
852,2017,Nordeste,MA,2105401,Interior,Municipal,Urbana,208.417599,167.14005500000002,Feminino,Parda,Setembro,2003,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Menos de 1 hora,Não,Continuar estudando e trabalhar
854,2017,Nordeste,CE,2307304,Interior,Municipal,Urbana,223.047862,144.230517,Feminino,Branca,Julho,2001,Não tem,Não sei,Nunca estudou,Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
855,2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,317.256851,313.652794,Feminino,Parda,Abril,2003,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
856,2017,Sudeste,SP,3552502,Interior,Estadual,Urbana,297.222425,370.233548,Feminino,Branca,Setembro,2003,"Sim, três","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
857,2017,Sul,PR,4105508,Interior,Estadual,Urbana,306.210742,294.664214,Feminino,Parda,Outubro,2002,"Sim, um","Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
858,2017,Sudeste,MG,3123205,Interior,Municipal,Urbana,298.468472,311.297045,Masculino,Parda,Maio,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
860,2017,Sudeste,SP,3549904,Interior,Estadual,Urbana,331.40482599999996,322.61501699999997,Masculino,Branca,Junho,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
861,2017,Norte,RO,1100205,Capital,Estadual,Urbana,280.954181,310.308142,Feminino,Branca,Setembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
862,2017,Centro-Oeste,GO,5212501,Interior,Estadual,Urbana,165.238947,185.920101,Feminino,Branca,Dezembro,2002,Não tem,Não sei,Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Mais de 3 horas,Não,Continuar estudando e trabalhar
863,2017,Sudeste,SP,3554102,Interior,Municipal,Urbana,368.391976,316.593234,Feminino,Parda,Outubro,2002,Não tem,Não sei,Não sei,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
864,2017,Nordeste,CE,2305654,Interior,Municipal,Urbana,245.64991400000002,226.093941,Feminino,Branca,Setembro,2002,Não tem,Nunca estudou,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Entre 1 e 2 horas,Não,Ainda não sei
866,2017,Centro-Oeste,GO,5207402,Interior,Estadual,Urbana,247.91634399999998,242.19512400000002,Masculino,Parda,Abril,2003,Não tem,Não completou o 5.º ano do Ensino Fundamental,Não sei,Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
867,2017,Nordeste,BA,2918407,Interior,Estadual,Urbana,308.296246,295.67553,Masculino,Parda,Abril,2002,"Sim, dois",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
868,2017,Norte,RO,1100023,Interior,Estadual,Rural,251.418244,222.468374,Feminino,Parda,Abril,2002,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Mais de 2 horas, até 3 horas",Sim,Continuar estudando e trabalhar
869,2017,Nordeste,AL,2701506,Interior,Municipal,Urbana,246.117381,214.258965,Masculino,Parda,Março,2003,Não tem,Não sei,Não sei,Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
871,2017,Sul,SC,4204608,Interior,Estadual,Urbana,271.333448,197.820752,Feminino,Branca,Dezembro,2002,"Sim, três","Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Menos de 1 hora,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
872,2017,Norte,AM,1301704,Interior,Estadual,Urbana,273.492006,233.30215099999998,Feminino,Parda,Novembro,2001,Não tem,Não completou o 5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Ainda não sei
873,2017,Sudeste,SP,3546405,Interior,Estadual,Urbana,203.60475300000002,211.002845,Masculino,Amarela,Novembro,2003,Não tem,Não sei,Não sei,Menos de 1 hora,Menos de 1 hora,Não,Somente continuar estudando
874,2017,Norte,PA,1502400,Interior,Estadual,Urbana,276.552993,267.326103,Feminino,Branca,Julho,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
875,2017,Nordeste,MA,2104800,Interior,Municipal,Urbana,242.559562,243.62797999999998,Masculino,Parda,Janeiro,2003,"Sim, quatro ou mais","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
876,2017,Norte,AM,1300508,Interior,Estadual,Urbana,282.607258,269.759879,Masculino,Branca,Outubro,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Mais de 2 horas, até 3 horas",Não,Somente continuar estudando
877,2017,Sudeste,SP,3513801,Interior,Estadual,Urbana,228.26977599999998,244.057512,Masculino,Branca,Setembro,2002,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
878,2017,Sudeste,SP,3550308,Capital,Municipal,Urbana,338.846232,361.648934,Masculino,Branca,Agosto,2002,Não tem,Não sei,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
879,2017,Sudeste,MG,3170909,Interior,Estadual,Urbana,197.82220800000002,230.65783,Feminino,Parda,Junho,2005 ou depois,Não tem,Não completou o 5.º ano do Ensino Fundamental,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
881,2017,Centro-Oeste,MT,5107743,Interior,Municipal,Urbana,239.592178,227.11638,Feminino,Amarela,Setembro,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
882,2017,Nordeste,PE,2602902,Interior,Municipal,Urbana,237.20680099999998,221.008354,Feminino,Parda,Dezembro,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
883,2017,Norte,PA,1506708,Interior,Municipal,Urbana,206.734882,220.629908,Masculino,Não quero declarar,Agosto,2002,Não tem,Não sei,Não sei,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
884,2017,Sudeste,SP,3526902,Interior,Estadual,Urbana,280.08106200000003,276.57125299999996,Masculino,Branca,Junho,2003,"Sim, dois",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
885,2017,Sudeste,RJ,3301009,Interior,Estadual,Urbana,272.084315,252.500439,Feminino,Amarela,Junho,2001,Não tem,Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
887,2017,Sudeste,SP,3548708,Interior,Estadual,Urbana,357.616706,403.39468999999997,Masculino,Branca,Junho,2003,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
888,2017,Sul,PR,4106902,Capital,Estadual,Urbana,314.660907,316.28655299999997,Masculino,Branca,Dezembro,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
